X,Y
0.04941857833644429,0.12471904592044615
0.04817538151540033,0.11583931010397687
0.043809207094055294,0.1058816803409551
0.038842612489565644,0.09866373397115291
0.032086231129021585,0.0911070637854811
0.02323991712151195,0.08287907568860568
0.010469846177401234,0.07192111140664442
0.002821435699790017,0.06435582701101898
0.0042397305696473455,0.06373872562675789
0.013125578100293772,0.07050501379147311
0.02356104312140098,0.07808836446471976
0.032777931927609444,0.08570764280036496
0.04027763076554389,0.09308755412884628
0.04612673027733931,0.10029135956019201
0.050391821105130755,0.10738232020443042
0.0526777642717059,0.11719032130813677
0.05169778449270299,0.11574735672975718
0.04926412649862008,0.10808881294262826
0.04386630157841172,0.09938202109360597
0.0359174574021889,0.09030496710287243
0.027661873422958224,0.08292378665908146
0.018013700420915758,0.07533616305586885
0.010777811517774249,0.0701678418409128
0.015234545049933122,0.07458784056088136
0.027401058944871354,0.0850153903853474
0.03615290112348681,0.09380152624314547
0.04278946013290784,0.10205207118367011
0.047335487960680656,0.1097917771944676
0.049815736594351706,0.11704539626308427
0.05172513744279204,0.11599736929956872
